iter	SMAPE	RMSE	MAPE	MAE
104	39.9597095	1077.849075	0.5539284155	761.308425
105	39.95931568	1077.844234	0.5539510325	761.3099449
106	39.96635471	1077.785949	0.5537691425	761.2504057
107	39.95207036	1077.703582	0.5533173497	761.1332977
108	39.94918194	1077.671418	0.5532666529	761.0793072
109	39.93409856	1077.636066	0.553368311	761.0319615
110	39.89639144	1077.618585	0.5531830765	760.9987494
111	39.91579549	1077.600605	0.5532135801	760.9894856
112	39.81918283	1077.507069	0.5528353172	760.8705576
113	39.72159529	1077.44104	0.5519683871	760.7079371
114	39.73194987	1077.424445	0.5519960215	760.7114051
115	39.87005613	1077.300884	0.5527874826	760.5916175
116	39.88914833	1077.106015	0.5527617829	760.3984306
117	39.88749559	1077.005253	0.5528332518	760.2899215
118	39.89655881	1076.759398	0.5527428383	760.1848728
119	39.92559288	1076.733285	0.5528480604	760.1583203
120	39.9158574	1076.665065	0.5528819223	760.0814668
121	39.92220575	1076.532829	0.5534121976	759.8646255
122	39.89661662	1076.43174	0.5526247323	759.5878576
123	39.89430545	1076.389943	0.5525760451	759.5468965
124	39.85540526	1076.296518	0.5522896544	759.4104875
125	39.86445927	1076.182167	0.5522679615	759.3478544
126	39.84047918	1076.04586	0.5520590604	759.2628025
127	39.84803859	1075.867344	0.5520701121	759.2266779
128	39.85066779	1075.462281	0.5523705795	759.0485785
129	39.84984492	1075.32441	0.5524011728	758.9886004
130	39.84698031	1075.24731	0.5524153749	758.9396327
131	39.82621542	1075.006065	0.5525637142	758.7154789
132	39.80911755	1074.947519	0.5525548348	758.6757145
133	39.80080246	1074.908362	0.5525080804	758.6336303
134	39.80747267	1074.728333	0.552491471	758.5535434
135	39.80423629	1074.654705	0.5524788839	758.4846786
136	39.79470117	1074.598085	0.5524553466	758.4376135
137	39.7947295	1074.589478	0.5524524839	758.4295298
138	39.79788026	1074.552892	0.5524007641	758.4132568
139	39.79850352	1074.51912	0.5523819156	758.3847738
140	39.80577224	1074.425447	0.5522215729	758.3142804
141	39.78768244	1074.340181	0.5520891083	758.2182181
142	39.80417327	1074.181679	0.5520313826	758.1230214
143	39.80465537	1074.177069	0.5520006919	758.1281382
144	39.63979009	1074.100281	0.5497605277	757.8169859
145	39.63727045	1074.079099	0.5497591397	757.7941307
146	39.63246596	1074.057084	0.5497128114	757.7765951
147	39.64065355	1073.968821	0.5497462643	757.7648148
148	39.64368285	1073.962609	0.5496969995	757.7645331
149	39.60844931	1073.883897	0.550007485	757.7050421
150	39.60095358	1073.718074	0.5501832466	757.5292436
151	39.58307098	1073.65572	0.5501143226	757.4608038
152	39.64333224	1073.539123	0.5500098814	757.397028
153	39.57993834	1073.487277	0.5493548399	757.2706614
154	39.54484603	1073.456501	0.5493362194	757.2282734
155	39.54025999	1073.407539	0.5493421692	757.187979
156	39.53704385	1073.374451	0.5493423656	757.1494513
157	39.52955004	1073.352464	0.5493265874	757.1351565
158	39.51417092	1073.309883	0.5491454025	757.0995311
159	39.5047562	1073.236049	0.5492669223	757.0437573
160	39.53707419	1073.155624	0.5494599287	756.9903557
161	39.53559168	1073.097073	0.549445207	756.9718474
162	39.53241974	1073.0467	0.5494618048	756.932818
163	39.50498721	1073.036622	0.549437289	756.9055779
164	39.50377636	1073.009183	0.5494127778	756.8698981
165	39.50560671	1072.943879	0.5495562617	756.82776
166	39.49985054	1072.932534	0.549540934	756.8043741
167	39.50055143	1072.909124	0.5495400802	756.780004
168	39.49840805	1072.870201	0.549496478	756.7503056
169	39.44420109	1072.650533	0.5495475495	756.6538571
170	39.35971166	1072.605242	0.5491314236	756.5709022
171	39.35677511	1072.601658	0.549142728	756.5645114
172	39.34941784	1072.515103	0.5491905086	756.4970415
173	39.34940361	1072.511436	0.549171432	756.4954587
174	39.33810734	1072.432836	0.5491292023	756.437908
175	39.30471318	1072.38646	0.5490063411	756.4072461
176	39.29969589	1072.329627	0.5489832971	756.359795
177	39.29970651	1072.329627	0.5489830539	756.3597452
178	39.32990407	1072.264313	0.5487159809	756.3048669
179	39.32672978	1072.259777	0.5486914179	756.2911594
180	39.27639971	1072.205934	0.5487613143	756.2566462
181	39.27213635	1072.159305	0.548742783	756.2176545
182	39.23488966	1072.142579	0.5484393895	756.1840186
183	39.24292049	1072.089663	0.5483624494	756.1562082
184	39.24031785	1072.075993	0.548365232	756.1327439
185	39.24144955	1072.064968	0.5483490591	756.121751
186	39.24655779	1071.617927	0.5482891034	755.8602335
187	39.22596587	1071.592906	0.5482614904	755.8345795
188	39.20708859	1071.576153	0.5482313186	755.8087472
189	39.20721919	1071.559812	0.5482652904	755.791073
190	39.17804125	1071.503454	0.548086309	755.7385105
191	39.18085147	1071.220533	0.5480641001	755.5955593
192	39.18593914	1071.189774	0.5480794727	755.5796969
193	39.1919658	1071.171346	0.5480588505	755.5503708
194	39.19576985	1071.101488	0.5480035794	755.4739722
195	39.26898082	1070.991135	0.5483720619	755.3185278
196	39.23875819	1070.936622	0.5482215714	755.2570328
197	39.24550044	1070.838807	0.5482549689	755.1693593
198	39.24264124	1070.812472	0.5482552478	755.1382478
199	39.24197255	1070.810509	0.5482564198	755.1386809
200	39.22521103	1070.595841	0.5479857224	754.952841
201	39.18656276	1070.56978	0.5477932404	754.8696832
202	39.18375354	1070.552513	0.5477675272	754.8444621
203	39.17223684	1070.224678	0.5475839874	754.6266673
204	39.22761421	1070.180885	0.5476370335	754.5683256
205	39.22168901	1070.129939	0.5475847849	754.5416394
206	39.21925633	1069.64951	0.5472856464	754.2567584
207	39.21591532	1069.588912	0.5472434386	754.1983851
208	39.2122159	1069.561649	0.5471616017	754.1784742
209	39.21079144	1069.460864	0.5469998739	754.0938133
210	39.20177426	1069.414276	0.547056482	754.0768872
211	39.19537302	1069.230688	0.5470871503	753.9672474
212	39.19742513	1068.989834	0.5470608624	753.8504368
213	39.16522136	1068.976651	0.547111485	753.8349849
214	39.13886452	1068.951371	0.5469095062	753.7603012
215	39.14148194	1068.946922	0.546890009	753.7562396
216	39.13010685	1068.891058	0.5468890378	753.697424
217	39.12564828	1068.869212	0.546881042	753.665751
218	39.12655199	1068.841964	0.5468305662	753.6435036
219	39.13667747	1068.782275	0.5468056065	753.6048591
220	39.1281949	1068.761783	0.5468404141	753.6036656
221	39.1174028	1067.990173	0.5465999789	753.0711554
222	39.11559595	1067.967171	0.5465735783	753.0563512
223	39.11007029	1067.952783	0.5465498092	753.0476284
224	39.10341176	1067.902126	0.5465081756	753.0270773
225	39.12237664	1067.403038	0.5464220406	752.7969465
226	39.12583559	1067.295729	0.5464321136	752.7468622
227	39.12572292	1067.114612	0.5462408842	752.669361
228	39.11809689	1066.978279	0.5461726249	752.5274506
229	39.11909745	1066.956685	0.5461320513	752.5104841
230	39.11486169	1066.782208	0.5460362869	752.399475
231	39.18615094	1066.764846	0.5464289183	752.3913886
232	39.19234995	1066.729239	0.5464093854	752.3767907
233	39.20658056	1066.68423	0.5464077306	752.3621423
234	39.21869775	1066.618057	0.5464170201	752.366355
235	39.22056034	1066.516891	0.5463617253	752.2974901
236	39.21762652	1066.510501	0.5463403886	752.2861032
237	39.21440648	1066.474819	0.5463296791	752.2614716
238	39.21122036	1066.444126	0.5463875806	752.2411928
239	39.21003427	1066.437156	0.5464015642	752.2450441
240	39.20740203	1066.339052	0.546426217	752.171662
241	39.20989318	1066.334247	0.5464046172	752.1624186
242	39.19355108	1066.317789	0.5464443114	752.1699489
243	39.19961323	1066.258631	0.5464700538	752.1594429
244	39.21960533	1066.09804	0.5465068388	752.0719325
245	39.21065426	1065.925255	0.5466215264	751.9770123
246	39.12793563	1065.758159	0.5463361285	751.7732731
247	39.14146153	1065.216461	0.5463469717	751.5571232
248	39.13911139	1065.188938	0.5463618974	751.5296452
249	39.14069473	1065.171524	0.5463521832	751.5196595
250	39.20293938	1065.153433	0.546668045	751.5106787
251	39.19050851	1064.955968	0.5468598778	751.3539725
252	39.18819181	1064.937251	0.5468747911	751.3450005
253	39.1856367	1064.920245	0.54678604	751.3188285
254	39.1775052	1064.899036	0.5466784134	751.3021004
255	39.16834866	1064.892522	0.5466766728	751.2911104
256	39.17019271	1064.837607	0.5467206889	751.2767295
257	39.17226004	1064.829511	0.5467043518	751.2713957
258	39.18877719	1064.812636	0.5466782344	751.2653532
259	39.18923475	1064.792792	0.5466562598	751.2409823
260	39.15639587	1064.747601	0.5466075659	751.2040368
261	39.19304976	1064.72894	0.5465618421	751.2045079
262	39.18949458	1064.701352	0.5465142524	751.1758258
263	39.20197434	1064.60993	0.5466566972	751.1459212
264	39.19767146	1064.493827	0.5465659026	751.093238
265	39.2111328	1064.463613	0.5464455791	751.051186
266	39.20505449	1064.393199	0.546419007	751.0105561
267	39.18795534	1064.358861	0.5461481601	750.9349049
268	39.166964	1064.335269	0.5459310393	750.9043152
269	39.18074957	1064.287879	0.5460097814	750.870338
270	39.18824999	1064.27441	0.5459509426	750.8536459
271	39.1816209	1064.271025	0.5459521483	750.8471368
272	39.18190677	1064.270716	0.5459451435	750.8456334
273	39.15321154	1064.24177	0.5458961803	750.8493635
274	39.14885828	1064.224316	0.54591231	750.8365575
275	39.1243055	1064.208053	0.5459348572	750.837675
276	39.12114759	1064.195096	0.5458909911	750.8175155
277	39.11823951	1064.188531	0.5459013349	750.8054849
278	39.12093506	1064.137068	0.5458206089	750.7574934
279	39.09780483	1063.991782	0.5454352378	750.6686906
280	39.10061158	1063.951664	0.5455013419	750.642473
281	39.10299871	1063.934977	0.5455092994	750.6163335
282	39.10341017	1063.934935	0.545506157	750.6158288
283	39.10929512	1063.860133	0.5452076827	750.5417665
284	39.08520161	1063.727837	0.5450988806	750.4066423
285	39.07669899	1063.717734	0.5450969388	750.405666
286	39.07630109	1063.660366	0.545084127	750.3844135
287	39.07586076	1063.658416	0.5450849132	750.3791672
288	39.07588099	1063.651585	0.545092493	750.3805939
289	39.07701043	1063.564768	0.5451382861	750.3500528
290	39.07920708	1063.375393	0.5451263194	750.2990382
291	39.07860617	1063.370706	0.545137124	750.2858003
292	39.06935894	1063.16075	0.5451074331	750.2221276
293	39.06941589	1062.999871	0.5451129215	750.1443017
294	39.06194592	1062.973457	0.5451410989	750.1177543
295	39.07512148	1062.858872	0.5450689214	750.0377031
296	39.07379616	1062.831733	0.5450511028	750.0162577
297	39.07367876	1062.831724	0.5450514275	750.0163238
298	39.07319206	1062.819533	0.5450047277	750.0044607
299	39.07382963	1062.769898	0.5450186509	749.9899801
300	39.05210375	1062.715836	0.544981698	749.9323765
301	39.03686248	1062.456438	0.5449374966	749.6601606
302	39.04545213	1062.38488	0.5449442307	749.6430814
303	39.091535	1062.368295	0.5450748766	749.6230115
304	39.09864189	1062.353951	0.5450691947	749.6136998
305	39.0948194	1062.304798	0.5450589883	749.5712419
306	39.0984175	1062.261056	0.5451080619	749.5322433
307	39.09743427	1062.094588	0.5451604338	749.4589055
308	39.10997753	1061.93124	0.5451129384	749.3552233
309	39.10986034	1061.931238	0.5451148787	749.3555713
310	39.10864657	1061.797609	0.5450879303	749.2927225
311	39.11233259	1061.761202	0.5450976991	749.3153581
312	39.11303272	1061.728789	0.5451250133	749.3095722
313	39.11118443	1061.72477	0.545121506	749.3045448
314	39.1105183	1061.65231	0.5451604595	749.2647454
315	39.11394231	1061.636373	0.5451705008	749.2568855
316	39.11638562	1061.553614	0.5451157335	749.2012895
317	39.11781244	1061.476029	0.5450719057	749.1731072
318	39.11710949	1061.475723	0.5450748093	749.1732765
